fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.129,0.0035,0.0049,0.058,0.00066,0.05,0.35,0.010014,0.032,0.0066,0.12,7
0.112,0.005,0.0074,0.0515,0.001,0.05,0.17,0.009996,0.0322,0.0062,0.112,5
0.092,0.0059,0.0024,0.033,0.00101,0.2,0.47,0.009988,0.0326,0.0067,0.096,5
0.095,0.0046,0.0049,0.063,0.00064,0.05,0.17,0.009988,0.0321,0.0073,0.11,6
0.093,0.00715,0.0024,0.021,0.0007,0.05,0.2,0.009966,0.0312,0.0059,0.099,5
0.112,0.0066,0.0024,0.025,0.00085,0.16,0.53,0.009993,0.0306,0.0072,0.11,6
0.143,0.0031,0.0074,0.018,0.00075,0.06,0.15,0.010008,0.0286,0.0079,0.084,6
0.091,0.0047,0.0049,0.026,0.00094,0.38,1.06,0.009982,0.0308,0.0059,0.091,5
0.075,0.0055,0.0024,0.02,0.00078,0.1,0.28,0.009983,0.0345,0.0078,0.095,6
0.106,0.0031,0.0049,0.025,0.00067,0.06,0.21,0.009987,0.0326,0.0086,0.107,6
0.124,0.0035,0.0049,0.026,0.00079,0.27,0.69,0.009994,0.0312,0.0075,0.104,6
0.09,0.0053,0.0049,0.019,0.00171,0.06,0.25,0.009975,0.0327,0.0061,0.094,6
0.068,0.0051,0.0001,0.021,0.00074,0.09,0.25,0.009958,0.0333,0.0056,0.095,6
0.094,0.0043,0.0024,0.028,0.00092,0.14,0.45,0.00998,0.0319,0.0073,0.1,6
0.095,0.0046,0.0024,0.027,0.00092,0.14,0.44,0.00998,0.0312,0.0074,0.1,6
0.05,0.0104,0.0024,0.016,0.0005,0.32,0.96,0.009934,0.0374,0.0062,0.115,5
0.155,0.00645,0.0049,0.042,0.00095,0.1,0.23,0.0100315,0.0292,0.0074,0.111,5
0.155,0.00645,0.0049,0.042,0.00095,0.1,0.23,0.0100315,0.0292,0.0074,0.111,5
0.109,0.0053,0.0049,0.046,0.00118,0.1,0.17,0.010002,0.0307,0.0056,0.117,6
0.156,0.00645,0.0049,0.042,0.00095,0.1,0.23,0.0100315,0.0292,0.0074,0.111,5
0.109,0.0053,0.0049,0.046,0.00118,0.1,0.17,0.010002,0.0307,0.0056,0.117,6
0.13,0.0047,0.0049,0.043,0.00085,0.06,0.47,0.010021,0.033,0.0068,0.127,6
0.127,0.006,0.0049,0.028,0.00075,0.05,0.19,0.009994,0.0314,0.0057,0.114,5
0.09,0.0044,0.0049,0.024,0.00078,0.26,1.21,0.009978,0.0323,0.0058,0.092,5
0.09,0.0054,0.0049,0.029,0.00094,0.41,1.1,0.009982,0.0308,0.0061,0.092,5
0.076,0.0029,0.0049,0.027,0.00092,0.25,0.6,0.009971,0.0331,0.0061,0.101,6
0.13,0.0047,0.0049,0.043,0.00085,0.06,0.47,0.010021,0.033,0.0068,0.127,6
0.127,0.006,0.0049,0.028,0.00075,0.05,0.19,0.009994,0.0314,0.0057,0.114,5
0.087,0.007,0.0024,0.025,0.00226,0.05,0.15,0.009991,0.0332,0.006,0.09,6
0.087,0.007,0.0024,0.025,0.00226,0.05,0.15,0.009991,0.0332,0.006,0.09,6
0.098,0.005,0.0049,0.026,0.0025,0.05,0.2,0.00999,0.0331,0.0079,0.107,6
0.062,0.0036,0.0024,0.022,0.00095,0.19,0.42,0.009946,0.0357,0.0057,0.117,6
0.115,0.0035,0.0049,0.033,0.0007,0.1,0.37,0.010003,0.0332,0.0091,0.11,6
0.062,0.0036,0.0024,0.022,0.00095,0.19,0.42,0.009946,0.0357,0.0057,0.117,6
0.102,0.0024,0.0049,0.024,0.00075,0.1,0.28,0.009978,0.0314,0.0061,0.104,5
0.105,0.0059,0.0049,0.021,0.0007,0.14,0.47,0.009991,0.033,0.0056,0.096,4
0.106,0.0034,0.0049,0.032,0.00078,0.2,0.78,0.009992,0.0319,0.007,0.1,6
0.123,0.0027,0.0049,0.031,0.00079,0.28,0.46,0.009993,0.032,0.008,0.102,6
0.099,0.005,0.0024,0.023,0.00103,0.06,0.14,0.009978,0.0334,0.0052,0.1,4
0.088,0.0044,0.0049,0.028,0.00083,0.18,1.11,0.009982,0.033,0.006,0.095,5
0.088,0.0047,0.0049,0.029,0.00085,0.17,1.1,0.009982,0.0329,0.006,0.098,5
0.106,0.0031,0.0049,0.022,0.00063,0.18,0.4,0.009976,0.0314,0.0051,0.098,6
0.123,0.005,0.0049,0.022,0.00089,0.05,0.14,0.010002,0.0319,0.0044,0.096,5
0.123,0.005,0.0049,0.022,0.00089,0.05,0.14,0.010002,0.0319,0.0044,0.096,5
0.117,0.0049,0.0049,0.022,0.00083,0.05,0.15,0.01,0.0319,0.0043,0.092,5
0.12,0.0028,0.0049,0.019,0.00074,0.1,0.21,0.009976,0.0298,0.0066,0.099,7
0.118,0.0033,0.0049,0.034,0.00093,0.54,0.8,0.010002,0.033,0.0076,0.107,7
0.076,0.0051,0.0024,0.024,0.00091,0.08,0.38,0.00998,0.0347,0.0066,0.096,6
0.111,0.0031,0.0049,0.027,0.00094,0.16,0.47,0.009986,0.0312,0.0102,0.106,7
0.073,0.0073,0.0024,0.019,0.00108,0.18,1.02,0.009967,0.0326,0.0059,0.093,5
0.05,0.0042,0.0024,0.02,0.0006,0.19,0.5,0.009917,0.0372,0.0074,0.14,8
0.102,0.0029,0.0049,0.026,0.00059,0.05,0.13,0.009976,0.0305,0.0074,0.105,7
0.09,0.0045,0.0049,0.026,0.00084,0.21,0.75,0.009987,0.0335,0.0057,0.097,5
0.066,0.0039,0.0049,0.017,0.0007,0.23,1.49,0.009922,0.0312,0.005,0.115,6
0.09,0.0045,0.0049,0.026,0.00084,0.21,0.75,0.009987,0.0335,0.0057,0.097,5
0.099,0.0049,0.0058,0.035,0.00094,0.09,0.43,0.010004,0.0329,0.0058,0.09,5
0.079,0.0072,0.0017,0.026,0.00096,0.2,0.38,0.009978,0.034,0.0053,0.095,5
0.089,0.00595,0.0041,0.079,0.00086,0.3,1.09,0.009998,0.0327,0.0057,0.093,5
0.124,0.004,0.0051,0.02,0.00059,0.06,0.24,0.009994,0.0304,0.006,0.093,6
0.119,0.0058,0.0058,0.019,0.00071,0.05,0.18,0.00998,0.0309,0.0063,0.1,6
0.085,0.00585,0.0018,0.021,0.00078,0.05,0.3,0.009967,0.032,0.0048,0.098,6
0.127,0.0059,0.0045,0.023,0.00082,0.11,0.22,0.01,0.03,0.007,0.093,6
0.082,0.00915,0.0027,0.021,0.00088,0.07,0.23,0.009962,0.0326,0.0047,0.1,4
0.132,0.0046,0.0052,0.022,0.00071,0.12,0.35,0.010006,0.031,0.0056,0.09,6
0.077,0.00835,0,0.026,0.00081,0.06,0.14,0.009975,0.033,0.0052,0.093,5
0.132,0.0046,0.0052,0.022,0.00071,0.12,0.35,0.010006,0.031,0.0056,0.09,6
0.083,0.0058,0.0013,0.029,0.00096,0.14,0.63,0.009984,0.0317,0.0062,0.091,6
0.083,0.006,0.0013,0.026,0.00085,0.06,0.24,0.009984,0.0331,0.0059,0.092,6
0.094,0.0041,0.0048,0.046,0.00072,0.1,0.2,0.009973,0.0334,0.0079,0.122,7
0.088,0.0048,0.0041,0.033,0.00092,0.26,0.52,0.009982,0.0331,0.0053,0.105,6
0.101,0.0065,0.0037,0.051,0.0011,0.11,0.65,0.010026,0.0332,0.0064,0.104,6
0.063,0.0036,0.0019,0.032,0.00075,0.15,0.39,0.009956,0.0356,0.0052,0.127,6
0.088,0.0024,0.0054,0.025,0.00083,0.25,0.57,0.009983,0.0339,0.0054,0.092,5
0.132,0.0038,0.0055,0.027,0.00081,0.05,0.16,0.010006,0.0298,0.0054,0.094,5
0.075,0.0064,0,0.024,0.00077,0.18,0.29,0.009965,0.0332,0.006,0.1,6
0.082,0.0039,0.0038,0.015,0.00058,0.1,0.29,0.009962,0.0326,0.0074,0.098,5
0.092,0.00755,0.0018,0.022,0.00148,0.1,1.03,0.009969,0.0287,0.0136,0.102,6
0.096,0.006,0.005,0.023,0.00079,0.28,0.71,0.009997,0.035,0.0057,0.097,5
0.096,0.006,0.005,0.023,0.00079,0.28,0.71,0.009997,0.035,0.0057,0.097,5
0.115,0.0031,0.0051,0.022,0.00079,0.14,0.28,0.009982,0.0303,0.0093,0.098,6
0.114,0.0046,0.005,0.027,0.00122,0.04,0.17,0.010006,0.0313,0.007,0.102,5
0.113,0.0037,0.0041,0.023,0.00088,0.06,0.16,0.009988,0.0309,0.008,0.093,5
0.083,0.0054,0.0024,0.034,0.00076,0.16,1.12,0.009976,0.0327,0.0061,0.094,5
0.082,0.0056,0.0023,0.034,0.00078,0.14,1.04,0.009976,0.0328,0.0062,0.094,5
0.1,0.0058,0.0022,0.019,0.0008,0.09,0.32,0.009974,0.0313,0.0055,0.095,5
0.079,0.0051,0.0025,0.029,0.00077,0.21,0.45,0.009974,0.0349,0.0096,0.121,6
0.068,0.0069,0,0.056,0.00124,0.21,0.58,0.009997,0.0346,0.0072,0.102,5
0.068,0.0069,0,0.056,0.00124,0.21,0.58,0.009997,0.0346,0.0072,0.102,5
0.088,0.006,0.0029,0.022,0.00098,0.05,0.15,0.009988,0.0336,0.0049,0.091,5
0.088,0.006,0.0029,0.022,0.00098,0.05,0.15,0.009988,0.0336,0.0049,0.091,5
0.087,0.0054,0.0026,0.025,0.00097,0.07,0.31,0.009976,0.0327,0.006,0.093,6
0.076,0.00685,0.0023,0.023,0.00111,0.2,0.84,0.009964,0.0321,0.0061,0.093,5
0.087,0.0054,0.0026,0.025,0.00097,0.07,0.31,0.009976,0.0327,0.006,0.093,6
0.104,0.0028,0.0054,0.027,0.00105,0.05,0.19,0.009988,0.0325,0.0063,0.095,5
0.076,0.0041,0.0014,0.03,0.00087,0.21,0.43,0.009964,0.0332,0.0057,0.105,6
0.101,0.00935,0.0022,0.034,0.00105,0.11,0.86,0.01001,0.0343,0.0064,0.113,4
0.079,0.0035,0.0021,0.019,0.00073,0.46,1.02,0.009964,0.0327,0.0058,0.095,5
0.087,0.0084,0,0.014,0.00065,0.24,0.33,0.009954,0.0327,0.0055,0.097,5
0.096,0.0088,0.0028,0.024,0.00086,0.3,1.47,0.009979,0.0324,0.0053,0.094,5
0.095,0.00885,0.0027,0.023,0.00084,0.31,1.45,0.009978,0.0324,0.0053,0.094,5
0.077,0.00915,0.0012,0.022,0.00143,0.07,0.23,0.009964,0.0335,0.0065,0.102,7
0.089,0.0029,0.0035,0.019,0.00067,0.25,0.57,0.00997,0.0318,0.0136,0.103,6
0.099,0.0054,0.0045,0.023,0.00071,0.16,0.4,0.009991,0.0339,0.0062,0.094,5
0.095,0.0059,0.0044,0.023,0.00071,0.21,0.68,0.009992,0.0346,0.0063,0.095,5
0.099,0.0054,0.0045,0.023,0.00071,0.16,0.4,0.009991,0.0339,0.0062,0.094,5
0.095,0.0059,0.0044,0.023,0.00071,0.21,0.68,0.009992,0.0346,0.0063,0.095,5
0.099,0.0054,0.0045,0.023,0.00071,0.16,0.4,0.009991,0.0339,0.0062,0.094,5
0.078,0.0064,0.001,0.06,0.00115,0.05,0.11,0.009984,0.0337,0.0069,0.101,7
0.073,0.0067,0.0005,0.036,0.00107,0.06,0.2,0.009972,0.034,0.0063,0.101,5
0.083,0.00845,0.0001,0.022,0.0007,0.05,0.14,0.009967,0.0332,0.0058,0.11,4
0.087,0.0048,0.003,0.028,0.00066,0.1,0.28,0.009964,0.0333,0.0067,0.112,7
0.067,0.0042,0.0027,0.086,0.00068,0.24,1.48,0.009948,0.0316,0.0057,0.113,6
0.107,0.0043,0.0039,0.022,0.00106,0.08,0.32,0.009986,0.0289,0.005,0.096,5
0.098,0.0088,0.0025,0.025,0.00104,0.35,1.55,0.01001,0.0341,0.0067,0.112,5
0.159,0.0036,0.0065,0.075,0.00096,0.22,0.71,0.009976,0.0298,0.0084,0.149,5
0.094,0.0033,0.0059,0.028,0.00079,0.09,0.3,0.009976,0.0312,0.0054,0.12,6
0.086,0.0047,0.0047,0.024,0.00074,0.07,0.29,0.009979,0.0308,0.0046,0.095,5
0.097,0.0055,0.0017,0.029,0.00087,0.2,0.53,0.010004,0.0314,0.0061,0.094,5
0.107,0.0043,0.0039,0.022,0.00106,0.08,0.32,0.009986,0.0289,0.005,0.096,5
0.12,0.005,0.0059,0.014,0.00073,0.23,0.42,0.00998,0.0292,0.0068,0.105,7
0.072,0.0052,0.0007,0.014,0.00074,0.05,0.2,0.009973,0.0332,0.0081,0.096,6
0.071,0.0084,0.0002,0.044,0.00096,0.05,0.13,0.00997,0.0341,0.0057,0.11,4
0.072,0.0052,0.0007,0.014,0.00074,0.05,0.2,0.009973,0.0332,0.0081,0.096,6
0.075,0.0042,0.0031,0.016,0.0008,0.15,0.42,0.009978,0.0331,0.0064,0.09,5
0.072,0.0057,0.0006,0.016,0.00076,0.09,0.27,0.009972,0.0336,0.007,0.096,6
0.101,0.0028,0.0046,0.018,0.0005,0.05,0.13,0.009974,0.0304,0.0079,0.102,6
0.121,0.004,0.0052,0.02,0.00092,0.15,0.54,0.01,0.0303,0.0066,0.102,5
0.094,0.0059,0.0014,0.02,0.00084,0.25,0.48,0.009981,0.0314,0.0056,0.097,5
0.083,0.0049,0.0036,0.018,0.00222,0.06,0.16,0.00998,0.0318,0.006,0.095,6
0.113,0.0034,0.0045,0.02,0.00082,0.06,0.15,0.009988,0.0294,0.0066,0.092,6
0.1,0.0073,0.0043,0.023,0.00059,0.15,0.31,0.009966,0.0315,0.0057,0.11,5
0.113,0.0034,0.0045,0.02,0.00082,0.06,0.15,0.009988,0.0294,0.0066,0.092,6
0.069,0.004,0.0024,0.025,0.00083,0.3,0.45,0.009959,0.0326,0.0058,0.1,5
0.082,0.0073,0.0021,0.017,0.00074,0.05,0.13,0.009968,0.032,0.0052,0.095,5
0.098,0.0124,0.0034,0.02,0.00079,0.32,1.51,0.00998,0.0315,0.0053,0.095,5
0.082,0.0073,0.0021,0.017,0.00074,0.05,0.13,0.009968,0.032,0.0052,0.095,5
0.108,0.004,0.0041,0.022,0.00084,0.07,0.17,0.009984,0.0308,0.0067,0.093,6
0.093,0.0041,0.0039,0.022,0.00064,0.12,0.31,0.009984,0.0326,0.0065,0.102,5
0.108,0.004,0.0041,0.022,0.00084,0.07,0.17,0.009984,0.0308,0.0067,0.093,6
0.086,0.008,0.0011,0.023,0.00084,0.12,0.31,0.009979,0.034,0.0048,0.099,5
0.083,0.0078,0.001,0.026,0.00081,0.45,0.87,0.009983,0.0348,0.0053,0.1,5
0.108,0.0026,0.0045,0.033,0.0006,0.2,0.49,0.009972,0.0313,0.0054,0.096,5
0.133,0.0043,0.0058,0.019,0.0007,0.15,0.4,0.010004,0.0306,0.0049,0.09,5
0.08,0.0045,0.0023,0.022,0.00094,0.16,0.29,0.009962,0.0321,0.0049,0.102,6
0.085,0.0046,0.0031,0.0225,0.00078,0.32,0.58,0.00998,0.0333,0.0054,0.098,5
0.081,0.0078,0.0023,0.026,0.00059,0.05,0.15,0.00997,0.0337,0.0056,0.113,5
0.098,0.0098,0.0032,0.023,0.00078,0.35,1.52,0.00998,0.0325,0.0048,0.094,5
0.081,0.0078,0.0023,0.026,0.00059,0.05,0.15,0.00997,0.0337,0.0056,0.113,5
0.071,0.0065,0.0018,0.018,0.0007,0.13,0.4,0.00997,0.0344,0.006,0.091,5
0.091,0.0064,0.0023,0.031,0.00095,0.13,0.38,0.009998,0.0328,0.0059,0.097,5
0.077,0.0066,0.0004,0.016,0.00039,0.04,0.09,0.009962,0.034,0.0047,0.094,5
0.081,0.0038,0.0048,0.018,0.00157,0.05,0.17,0.009976,0.033,0.0105,0.094,5
0.074,0.01185,0,0.0425,0.00097,0.05,0.14,0.009966,0.0363,0.0054,0.107,3
0.092,0.0092,0.0024,0.026,0.00087,0.12,0.93,0.009998,0.0348,0.0054,0.098,5
0.086,0.0049,0.0051,0.02,0.00422,0.16,0.62,0.009979,0.0303,0.0117,0.09,5
0.09,0.0048,0.0032,0.028,0.00084,0.21,1.22,0.009984,0.0332,0.0062,0.094,5
0.09,0.0047,0.0031,0.027,0.00084,0.24,1.25,0.009984,0.0331,0.0061,0.094,5
0.051,0.0047,0.0002,0.013,0.00034,0.18,0.44,0.009921,0.039,0.0062,0.128,6
0.07,0.0065,0.0002,0.021,0.00066,0.08,0.25,0.009972,0.0347,0.0067,0.095,6
0.07,0.0065,0.0002,0.021,0.00066,0.08,0.25,0.009972,0.0347,0.0067,0.095,6
0.094,0.00615,0.0028,0.032,0.00087,0.18,0.72,0.010001,0.0331,0.0053,0.097,5
0.118,0.0038,0.0055,0.021,0.00071,0.05,0.19,0.009986,0.0311,0.0062,0.108,6
0.106,0.0102,0.0043,0.029,0.00076,0.26,0.88,0.009984,0.0308,0.0057,0.101,6
0.07,0.0065,0.0002,0.021,0.00066,0.08,0.25,0.009972,0.0347,0.0067,0.095,6
0.07,0.0064,0.0002,0.021,0.00067,0.09,0.23,0.00997,0.0347,0.0067,0.094,6
0.075,0.0038,0.0048,0.026,0.00073,0.22,0.84,0.009972,0.0332,0.007,0.096,4
0.091,0.00765,0.0004,0.016,0.00078,0.04,0.14,0.00998,0.0329,0.0054,0.097,4
0.084,0.01035,0.0015,0.06,0.00073,0.11,0.54,0.00999,0.0337,0.0049,0.099,5
0.07,0.0078,0.0008,0.02,0.00093,0.1,0.19,0.009956,0.034,0.0047,0.1,5
0.074,0.0049,0.0019,0.03,0.00077,0.16,0.37,0.009966,0.0337,0.0051,0.105,5
0.078,0.00545,0.0012,0.025,0.00068,0.11,0.35,0.00996,0.0334,0.0061,0.116,6
0.097,0.0031,0.0047,0.016,0.00062,0.13,0.33,0.009983,0.0327,0.0066,0.1,6
0.106,0.01025,0.0043,0.028,0.0008,0.21,0.84,0.009985,0.0306,0.0057,0.101,5
0.089,0.00565,0.0034,0.03,0.00093,0.16,1.12,0.009998,0.0338,0.0061,0.095,5
0.087,0.0069,0,0.032,0.00084,0.13,0.33,0.009992,0.0336,0.0045,0.094,5
0.08,0.0043,0.0036,0.023,0.00075,0.1,0.48,0.009976,0.0334,0.0046,0.094,5
0.099,0.0074,0.0028,0.026,0.00078,0.21,0.77,0.00998,0.0328,0.0051,0.098,5
0.072,0.0049,0.0018,0.027,0.00069,0.13,0.34,0.009967,0.0329,0.0048,0.092,6
0.08,0.0043,0.0036,0.023,0.00075,0.1,0.48,0.009976,0.0334,0.0046,0.094,5
0.076,0.0046,0.0011,0.026,0.00079,0.12,0.49,0.009968,0.0321,0.0057,0.1,5
0.084,0.0056,0.0004,0.02,0.00082,0.1,0.22,0.009976,0.0322,0.0044,0.096,5
0.071,0.0066,0,0.039,0.00086,0.17,0.45,0.009976,0.0346,0.0054,0.095,5
0.084,0.0056,0.0004,0.02,0.00082,0.1,0.22,0.009976,0.0322,0.0044,0.096,5
0.089,0.0048,0.0024,0.0285,0.00094,0.35,1.06,0.009982,0.031,0.0053,0.092,5
0.076,0.0042,0.0008,0.027,0.00084,0.15,0.48,0.009968,0.0321,0.0059,0.1,5
0.071,0.0031,0.003,0.022,0.00053,0.36,1.27,0.009965,0.0294,0.0162,0.095,5
0.075,0.01115,0.001,0.031,0.00086,0.05,0.12,0.009958,0.0354,0.006,0.112,4
0.09,0.0066,0.0017,0.03,0.00077,0.05,0.13,0.009976,0.0329,0.0055,0.104,5
0.081,0.0072,0.0009,0.028,0.00084,0.18,0.49,0.009994,0.0343,0.0072,0.111,6
0.064,0.0057,0.0002,0.018,0.00067,0.04,0.11,0.00997,0.0346,0.0068,0.095,5
0.064,0.0057,0.0002,0.018,0.00067,0.04,0.11,0.00997,0.0346,0.0068,0.095,5
0.064,0.00865,0.0003,0.032,0.00071,0.27,0.58,0.00995,0.0361,0.0049,0.127,6
0.095,0.0055,0.0066,0.023,0.00387,0.12,0.37,0.009982,0.0317,0.0067,0.096,5
0.089,0.00875,0.0013,0.0345,0.00088,0.04,0.14,0.009994,0.0344,0.0052,0.115,5
0.073,0.00835,0.0003,0.021,0.00092,0.1,0.19,0.009966,0.0339,0.0047,0.096,5
0.07,0.0045,0.0034,0.027,0.00082,0.16,0.72,0.00998,0.0355,0.006,0.095,5
0.077,0.0056,0.002,0.02,0.00075,0.09,0.39,0.009987,0.0348,0.0062,0.093,5
0.077,0.00965,0.001,0.021,0.00112,0.11,0.22,0.009963,0.0326,0.005,0.095,5
0.077,0.00965,0.001,0.021,0.00112,0.11,0.22,0.009963,0.0326,0.005,0.095,5
0.082,0.0059,0,0.025,0.00093,0.19,0.58,0.010002,0.035,0.0065,0.093,6
0.09,0.0046,0.0023,0.028,0.00092,0.28,1.04,0.009983,0.031,0.0056,0.092,5
0.09,0.0069,0,0.024,0.00088,0.19,0.38,0.00999,0.0335,0.006,0.093,5
0.083,0.0076,0.0029,0.042,0.00075,0.12,0.16,0.009965,0.0345,0.0068,0.115,6
0.092,0.0053,0.0024,0.026,0.00078,0.28,1.39,0.0099788,0.0321,0.0057,0.095,5
0.065,0.00615,0,0.019,0.00065,0.09,0.18,0.009972,0.0346,0.0065,0.092,5
0.116,0.0041,0.0058,0.028,0.00096,0.25,1.01,0.0100024,0.0313,0.0053,0.1,5
0.111,0.0039,0.0054,0.027,0.00095,0.21,1.01,0.010001,0.0313,0.0051,0.095,5
0.073,0.0051,0.0018,0.021,0.0007,0.12,0.28,0.0099768,0.0352,0.0073,0.095,6
0.082,0.0034,0.0038,0.025,0.0008,0.12,0.57,0.009978,0.033,0.0047,0.09,6
0.086,0.0033,0.004,0.026,0.00083,0.16,0.68,0.0099782,0.033,0.0048,0.094,5
0.072,0.005,0.0018,0.021,0.00071,0.12,0.31,0.0099761,0.0352,0.0072,0.096,6
0.073,0.0051,0.0018,0.021,0.0007,0.12,0.28,0.0099768,0.0352,0.0073,0.095,6
0.083,0.0065,0.001,0.029,0.00089,0.17,0.4,0.0099803,0.0329,0.0055,0.095,5
0.083,0.0065,0.001,0.029,0.00089,0.17,0.4,0.0099803,0.0329,0.0055,0.095,5
0.076,0.0054,0.0013,0.025,0.00097,0.24,0.66,0.0099785,0.0339,0.0061,0.094,5
0.083,0.0065,0.001,0.029,0.00089,0.17,0.4,0.0099803,0.0329,0.0055,0.095,5
0.078,0.0048,0.0068,0.017,0.00415,0.14,0.32,0.0099656,0.0309,0.0106,0.091,6
0.078,0.0091,0.0007,0.019,0.00058,0.22,0.47,0.0099525,0.0351,0.0043,0.107,6
0.063,0.0098,0.0001,0.02,0.00057,0.15,0.33,0.0099488,0.036,0.0046,0.112,6
0.081,0.0087,0,0.022,0.00084,0.1,0.31,0.0099656,0.0325,0.005,0.098,5
0.081,0.0087,0,0.022,0.00084,0.1,0.31,0.0099656,0.0325,0.005,0.098,5
0.088,0.0042,0.0021,0.025,0.00092,0.33,0.88,0.0099823,0.0319,0.0052,0.092,5
0.09,0.0058,0.0025,0.028,0.00075,0.09,1.04,0.0099779,0.0323,0.0057,0.097,5
0.093,0.00655,0.0026,0.02,0.00096,0.05,0.35,0.0099738,0.0325,0.0042,0.096,5
0.088,0.007,0,0.017,0.00069,0.08,0.19,0.0099701,0.0331,0.0053,0.1,6
0.093,0.00655,0.0026,0.02,0.00096,0.05,0.35,0.0099738,0.0325,0.0042,0.096,5
0.091,0.0068,0.0011,0.028,0.00093,0.11,0.44,0.0099888,0.0331,0.0055,0.095,6
0.092,0.0067,0.001,0.03,0.00091,0.12,0.48,0.0099888,0.0331,0.0054,0.095,6
0.088,0.0059,0.0018,0.029,0.00089,0.12,0.74,0.0099738,0.0314,0.0054,0.094,5
0.075,0.006,0.0032,0.027,0.00103,0.13,0.98,0.0099938,0.0345,0.0062,0.095,5
0.071,0.0059,0.0002,0.023,0.00082,0.24,0.94,0.0099744,0.0355,0.0053,0.097,6
0.079,0.0072,0.0001,0.019,0.00076,0.07,0.32,0.0099668,0.0339,0.0054,0.096,5
0.071,0.0059,0.0002,0.023,0.00082,0.24,0.94,0.0099744,0.0355,0.0053,0.097,6
0.094,0.00685,0.0026,0.024,0.00082,0.23,1.43,0.009978,0.0328,0.0055,0.094,5
0.095,0.0057,0.0027,0.023,0.00082,0.23,1.44,0.0099782,0.0327,0.0055,0.094,5
0.079,0.004,0.0029,0.018,0.00157,0.01,0.44,0.009973,0.033,0.0092,0.095,6
0.079,0.004,0.003,0.018,0.00157,0.02,0.45,0.0099727,0.0331,0.0091,0.095,6
0.072,0.01,0,0.03,0.00102,0.07,0.16,0.0099586,0.0343,0.0046,0.1,5
0.069,0.00765,0.0018,0.024,0.00243,0.055,0.48,0.0099612,0.034,0.006,0.103,6
0.069,0.00635,0.0017,0.024,0.00241,0.06,0.18,0.009961,0.034,0.0059,0.103,6
0.083,0.0043,0.003,0.034,0.00079,0.07,0.34,0.0099788,0.0336,0.0061,0.105,5
0.071,0.0052,0.0003,0.026,0.00076,0.21,0.92,0.0099745,0.035,0.006,0.098,5
0.07,0.0057,0,0.02,0.0019,0.12,0.45,0.0099676,0.0331,0.006,0.094,6
0.065,0.0046,0.0014,0.024,0.00114,0.09,0.37,0.0099732,0.0366,0.0065,0.098,5
0.09,0.0082,0.0005,0.024,0.00081,0.26,0.96,0.0099814,0.0336,0.0053,0.1,5
0.065,0.0046,0.0014,0.024,0.00114,0.09,0.37,0.0099732,0.0366,0.0065,0.098,5
0.071,0.0059,0.0001,0.025,0.00077,0.2,0.85,0.0099746,0.0355,0.0059,0.098,5
0.099,0.0035,0.0041,0.023,0.00083,0.11,0.61,0.009982,0.0321,0.005,0.095,5
0.099,0.0035,0.0041,0.023,0.00083,0.11,0.61,0.009982,0.0321,0.005,0.095,5
0.1,0.0056,0.0024,0.022,0.00079,0.19,0.58,0.009991,0.0318,0.0056,0.101,6
0.1,0.0056,0.0024,0.022,0.00079,0.19,0.58,0.009991,0.0318,0.0056,0.101,6
0.086,0.0063,0.0017,0.029,0.00099,0.21,1.19,0.00998,0.0309,0.0052,0.093,5
0.074,0.0037,0.0043,0.026,0.00082,0.18,0.82,0.0099708,0.0333,0.0068,0.097,6
0.088,0.0064,0.0017,0.029,0.00084,0.25,1.3,0.0099818,0.0323,0.0054,0.096,5
0.071,0.0061,0.0002,0.025,0.00081,0.17,0.87,0.0099745,0.0348,0.006,0.097,6
0.077,0.006,0,0.026,0.00055,0.07,0.13,0.0099639,0.0338,0.0056,0.108,5
0.101,0.0027,0.0054,0.023,0.00065,0.07,0.26,0.0099531,0.0317,0.0053,0.125,6
0.108,0.0089,0.003,0.026,0.00132,0.07,0.6,0.0099786,0.0299,0.0118,0.102,5
0.087,0.0046,0.0031,0.025,0.00126,0.24,0.64,0.0099746,0.031,0.0074,0.096,5
0.093,0.0037,0.0044,0.016,0.00038,0.21,0.42,0.0099526,0.0324,0.0081,0.108,7
0.094,0.005,0.0034,0.036,0.00082,0.05,0.14,0.009987,0.0329,0.0052,0.107,6
0.094,0.005,0.0034,0.036,0.00082,0.05,0.14,0.009987,0.0329,0.0052,0.107,6
0.072,0.0061,0.0008,0.04,0.00082,0.26,1.08,0.0099641,0.0325,0.0051,0.094,5
0.086,0.0055,0.0009,0.033,0.00068,0.08,0.17,0.0099735,0.0323,0.0044,0.1,5
0.051,0.00585,0,0.017,0.00044,0.14,0.86,0.0099264,0.0356,0.0094,0.129,7
0.077,0.0056,0.0008,0.025,0.00114,0.14,0.46,0.009971,0.0324,0.0066,0.096,6
0.084,0.0052,0.0022,0.027,0.00084,0.04,0.18,0.0099682,0.0326,0.0057,0.099,6
0.082,0.0028,0.004,0.024,0.00052,0.04,0.1,0.0099356,0.0333,0.007,0.128,7
0.084,0.0025,0.0039,0.02,0.00041,0.04,0.1,0.0099386,0.0327,0.0071,0.125,7
0.082,0.0028,0.004,0.024,0.00052,0.04,0.1,0.0099356,0.0333,0.007,0.128,7
